co_code,name,symbol,scripcode
79030,"Raymond Lifestyle Ltd",RAYMONDLSL,544240
79031,"Sparc Electrex Ltd Partly Paidup",NULL,890184
79034,"Nexus Select Trust",NXST,543913
79036,"Crop Life Science Ltd",CLSL,79036
79037,"Cosmic CRF Ltd",NULL,543928
79071,"International Gemmological Institute (India) Ltd",IGIL,544311
79141,"Sanofi Consumer Healthcare India Ltd",SANOFICONR,544250
79218,"Valiant Laboratories Ltd",VALIANTLAB,543998
79222,"AccelerateBS India Ltd",NULL,543938
79223,"Alphalogic Industries Ltd",NULL,543937
79225,"Docmode Health Technologies Ltd",DHTL,79225
79226,"Drone Destination Ltd",DRONE,79226
79227,"Global Pet Industries Ltd",GLOBALPET,79227
79228,"Kundan Edifice Ltd",KEL,79228
79229,"Pramara Promotions Ltd",PRAMARA,79229
79231,"Sangani Hospitals Ltd",SANGANI,79231
79232,"Service Care Ltd",SERVICE,79232
79233,"Srivari Spices & Foods Ltd",SSFL,79233
79234,"Veefin Solutions Ltd",NULL,543931
79235,"Vinsys IT Services India Ltd",VINSYS,79235
79258,"Mirae Asset Silver ETF",SILVRETF,543922
79259,"Euphoria Infotech (India) Ltd",NULL,544094
79260,"Khazanchi Jewellers Ltd",NULL,543953
79261,"Marinetrans India Ltd",MARINETRAN,79261
79263,"Zeal Global Services Ltd",ZEAL,79263
79452,"Anya Polytech & Fertilizers Ltd",ANYA,79452
79673,"Shri Ahimsa Naturals Ltd",SHRIAHIMSA,79673
80006,"Sanstar Ltd",SANSTAR,544217
80303,"Polysil Irrigation Systems Ltd",POLYSIL,80303
81373,"Indian Phosphate Ltd",IPHL,81373
81767,"Emerald Tyre Manufacturers Ltd",ETML,81767
81901,"Shree Tirupati Balajee Agro Trading Co. Ltd",BALAJEE,544249
82794,"Ajax Engineering Ltd",AJAXENGG,544356
82898,"Parmeshwar Metal Ltd",NULL,544330
83048,"United Heat Transfer Ltd",UHTL,83048
83611,"Danish Power Ltd",DANISH,83611
84318,"Doms Industries Ltd",DOMS,544045
85110,"Ceigall India Ltd",CEIGALL,544223
86032,"Amkay Products Ltd",NULL,544169
86134,"Laxmi Dental Ltd",LAXMIDENTL,544339
86284,"Alpex Solar Ltd",ALPEXSOLAR,86284
86391,"Vishal Mega Mart Ltd",VMM,544307
87111,"S J Logistics (India) Ltd",SJLOGISTIC,87111
88617,"Vinyas Innovative Technologies Ltd",VINYAS,88617
88957,"Odigma Consultancy Solutions Ltd",ODIGMA,544301
89433,"OneSource Specialty Pharma Ltd",ONESOURCE,544292
90914,"Epack Durable Ltd",EPACK,544095
91069,"Chandan Healthcare Ltd",CHANDAN,91069
91610,"Rikhav Securities Ltd",NULL,544340
91644,"Western Carriers (India) Ltd",WCIL,544258
91646,"Baweja Studios Ltd",BAWEJA,91646
91647,"Chavda Infra Ltd",CHAVDA,91647
91648,"On Door Concepts Ltd",ONDOOR,91648
91649,"Oriana Power Ltd",ORIANA,91649
91650,"RBZ Jewellers Ltd",RBZJEWEL,544060
91651,"Saroja Pharma Industries India Ltd",SAROJA,91651
91652,"Transteel Seating Technologies Ltd",TRANSTEEL,91652
91654,"Unihealth Hospitals Ltd",UNIHEALTH,91654
91656,"Arrowhead Seperation Engineering Ltd",NULL,544025
91657,"Plada Infotech Services Ltd",PLADAINFO,91657
91660,"Aik Pipes & Polymers Ltd",NULL,544072
91661,"Akanksha Power & Infrastructure Ltd",AKANKSHA,91661
91662,"Bondada Engineering Ltd",NULL,543971
91663,"Hi-Green Carbon Ltd",HIGREEN,91663
91664,"Kahan Packaging Ltd",NULL,543979
91665,"Karnika Industries Ltd",KARNIKA,91665
91666,"Kody Technolab Ltd",KODYTECH,91666
91667,"OneClick Logistics India Ltd",OLIL,91667
91668,"Saakshi Medtech & Panels Ltd",SAAKSHI,91668
91669,"Sunrest Lifescience Ltd",SUNREST,91669
91675,"Sharp Chucks and Machines Ltd",SCML,91675
91680,"DSP Nifty IT ETF",ITETFADD,543935
91701,"Platinum Industries Ltd",PLATIND,544134
91703,"Vrundavan Plantation Ltd",NULL,544011
91705,"KCD Industries India Ltd Partly Paidup",NULL,890185
91706,"Meson Valves India Ltd",NULL,543982
